Taxon,3PINES,AINO,ANDERSON,ANGE,ARTHURB,ARTHURE,ATO,AXELAKE,BALSAM,BARCHAMP,BARRY,BASEBALL,BASINPND,BASSWOOD,BASTIEN,BEAVERWI,BIGJOHN,BIGPOND,BINNEWTR,BLACKGUM,BLACKPND,BLUMOUND,BOGD,BRADSHAW,BRI2,BUCKLAKE,BYRONMRL,CAPITOLA,CEDARBLK,CHANCEHA,CHES2208,CHESPTMC,CHISM1,CLEARLIA,CLEARWTR,COGHILL,COMPASS,CONROY,COT,COTTONWD,CRANBER,CRAWFBOG,CRAWFDC,CROOKEDN,CROOKEDR,CROOKEDU,CUPOLA,DEADFROG,DEEPPOND,DEER,DIA375,DIAB,DIVERS,DUARTE,DUGASBAY,EAGLE,EAGLEPND,EBALTIC,ELAKE68,ELYLAKE,EMRICK,ERIE,ESPOIR,FAKIII98,FAR,FAWN,FIRST,FLINFLON,FORGE,FRENCHBY,FRESH,FRESHPND,FUDGER,FURNIVAL,GEAI,GILES,GOULD,GRAS,GREENNJ,GREENPND,GRENADIE,GREYIS,GUMLIMDH,GUMLIMFT,GUMLIMM,GUMLIMWH,HAMSLAKE,HANSON,HARLOCK,HARR,HARRIE,HAWKE,HELLSKIT,HEMLOCK,HIGHLAKE,HOSTAGE,HOUGHTON,HUMBER3,HUMBER5,HUMBER7,ICEHSMA,IRVIN,JACKSON,JBL004,JEMIMA,JOES3,JOS,KAN,KELLHOL1,KELLHOL2,KELLNERS,KENNYS,KILBRIDE,KIMBLE,KINSMAN,KROENING,LACAWAC,LAKEA,LAKEB,LAKEBI2,LAKEBN7,LAKEGB1,LAKELT1,LANSTJE,LEADINGT,LEVI,LILYLAKE,LILYWAR,LIMABOG,LINSLEY,LITTLEBO,LITTLEM,LONGSWMP,LORRAINE,LOSTMOOS,LOUISEMB,LOVESIC1,LOVESIC3,LOXAHAT1,LXSITE10,LXSITE4,LXSITE5,MANSELL,MARKPOND,MASHPAUG,MAYFLWON,MCCAR,MCDONALD,MERMAID,MILLER51,MKPEACEB,MKPEACED,MOONLAKE,MORRISON,MS9011,MUDCRK1,MUDLAKE,MUDLKMI,MUDLKMN2,NELSONMI,NOBOTTOM,NORTHPND,NORTHRND,NUTHSFT,NUTHSH,OLIVER,ONDRISPD,OPINES,OTTER,PANTHER,PARROTT,PASACACO,PATRICIA,PAW2,PAWELSKI,PAYNTER,PECKER,PEGGY,PENEGOR,PERCH,PERCHDUC,PETERSL,PICKEREL,PIERMONT,PINELAKE,PINEWI,PINHOOK,PINKLAKE,PITCHER,PLEASANT,POGONIA,POLAND,PORQUI2,PRESTON,PRIEND,PROTECTN,PWFTSWAL,QUAG,RAFT,RAMSAYLK,REIDEL,RICEMNB,RICEMSH2,RICEON,RIFESWMP,ROADCUT,ROBPOND,ROM,ROSE1,ROSSPOND,ROUND,ROUNDON,RUBYLAKE,SANDY,SCOTTLK,SILCOX52,SILVERNS,SILVERPA,SNAKE,SOUTHBOG,SPIRIT,SPIRITWD,STEELMN,SUGRLOAF,SZABOPND,TAUPAW,TAYCRK2A,TAYCRK2B,TAYLSL15,TAYLSL7,TERHELL,TERRIEN,THIB127B,TITICUT1,TONAWA,TROUTLBG,TWISMARL,UPMALLOT,VALHALLA,VANNOSTR,WCA2AF1,WCA2AU3,WCA3A15,WEBBS,WENTZEL,WHITGLCH,WICKETT,WINTERGR,WOLSFELD,WOODLAKE,WYLDELK,YELLE
Sambucus,0,0,0,0,0,0,0,0,0,0.002617801,0,0,0,0,0,0,0,0,0,0,0.001865136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001397136,0,0.006105006,0,0,0,0,0,0,0,0,0,0.001924557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000522906,0,0,0,0.001297648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001899428,0,0,0,0,0,0.001119119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004972759,0,0,0,0,0.015418662,0,0,0,0,0,0,0,0,0,0,0,0,0.008551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735745,0,0,0
Viburnum,0,0.001731422,0.000918794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002134563,0.000203252,0,0,0,0,0,0.020224901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406015,0,0,0,0,0,0,0,0,0,0,0.006275946,0,0,0,0.003516103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001964637,0,0.003200256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001569495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003774681,0,0,0,0,0,0,0,0,0,0,0,0,0.004086711,0,0,0,0,0,0,0.000434153,0,0,0,0,0,0,0,0.001490066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142017,0.00430372,0.003816146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001121372,0,0,0,0,0.000557072,0,0,0,0,0,0,0.003119966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352858,0,0,0,0,0
Liquidambar,0,0,0.003682884,0,0.020850669,0.01306163,0,0,0.002209073,0.002617801,0,0,0,0,0,0,0,0,0.000275706,0,0.001458632,0,0,0,0,0,0,0,0,0,0.023475319,0.055448823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006158827,0,0,0,0,0,0,0.000979686,0,0,0.001709402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112339,0,0,0.002598525,0,0,0,0,0,0,0,0,0,0,0,0,0.000908556,0,0,0,0,0.00125,0,0,0,0.001582278,0,0,0,0,0.027074836,0,0.000301484,0,0,0,0,0,0,0,0,0,0,0,0.002638522,0,0,0,0,0,0,0,0,0,0,0,0,0.003230283,0,0,0.001360679,0,0,0,0,0,0.003555268,0,0,0,0,0,0.001535627,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020350921,0.001965937,0,0,0,0,0,0,0,0,0.010045037,0,0,0,0,0,0,0,0,0,0,0.029450549,0.000142017,0.016979463,0.001272049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009351916,0,0,0.00591716,0,0,0,0,0,0,0.029149116,0,0,0.003992629,0,0.001844678,0,0,0,0,0,0.001872659,0,0,0,0,0.00216763,0,0,0,0,0,0.00115327,0,0,0,0,0
Salsola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004509906,0,0,0,0,0,0,0,0,0,0,0.212125496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008137707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135930412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473477,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002799621,0,0,0
Ilex,0,0,0.000918794,0,0,0,0,0,0.002209073,0.010471204,0,0,0.005681818,0.003636364,0,0,0,0.002857143,0.00158259,0,0.00125538,0,0,0,0,0.080996885,0,0.002689178,0,0,0,0.00279476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336,0,0,0,0,0.000935908,0,0,0.001709402,0.001353383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011905548,0,0,0,0,0,0,0,0,0,0,0,0.048212092,0,0.000288295,0,0.010562947,0,0,0,0,0.000301136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001504691,0,0.006132465,0,0.000325839,0.002285424,0.00207226,0.005313578,0,0,0,0,0,0.001604278,0,0,0,0,0,0,0,0,0,0,0,0.00046558,0.016852378,0,0,0,0,0,0,0,0,0.010867858,0.000287855,0.008331292,0.001350922,0,0,0,0,0.001555948,0,0,0,0,0.16269415,0.001965937,0,0.003144877,0,0,0,0,0,0,0,0,0,0,0,0,0.001205234,0.002915952,0,0.006515913,0,0.003987441,0,0,0.004166777,0,0,0,0,0,0,0,0,0,0,0,0.000524539,0,0,0.00106383,0.001727841,0.009351916,0,0,0,0.006425207,0,0,0,0,0,0.002396944,0.001164599,0.00862069,0,0.066822067,0.001844678,0,0,0,0.448356808,0,0,0,0,0,0,0,0.000408497,0.00755769,0,0,0,0.001858986,0,0,0.000266698,0,0
Nemopanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019197188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004997657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia.type,0.011008339,0.051528112,0.064423483,0.015075377,0.0015757,0.009267615,0.002638522,0.053364021,0.006364042,0.015706806,0.132734055,0.028747344,0.059659091,0.021818182,0.00686948,0.051824438,0.03565466,0.04,0.09306898,0.05300339,0.344440459,0.158075601,0.076993865,0,0,0,0.309583307,0.092863517,0.236638106,0.001399142,0.138219498,0.055895193,0,0.364237725,0.013558833,0.010228281,0.003021685,0.012192309,0,0.066486423,0.168609715,0.173779128,0.205098857,0.002000548,0.055555556,0.061425061,0.029026684,0.042598522,0.066350711,0.038781163,0,0.001858736,0.116525883,0.117572922,0.004782904,0.016806723,0.064957265,0.017912428,0.00892075,0.176512739,0.025521274,0.203285181,0.001591204,0.001431245,0.001837682,0.066916894,0.099623362,0.00186302,0.104493284,0.073680428,0.111411397,0.189591742,0.406620695,0.053043478,0,0.0896221,0.041976724,0.008745128,0.084342788,0.087763867,0.123320911,0,0,0,0.044965469,0.000356125,0.074313356,0.225991762,0.028775146,0.005509642,0.006315233,0,0.074389076,0.089032258,0.001964637,0.066974243,0.269823686,0.183525008,0.172072897,0.195425119,0.053102554,0.040132564,0.141634812,0.010462075,0.098393846,0,0.018739353,0.00744879,0.122451569,0,0.122523712,0,0.081581364,0.069255658,0.025069638,0.008548721,0.070192405,0.0001221,0,0.018651686,0.008578175,0.009915014,0.028008243,0.145400593,0,0.011400203,0.269840009,0.041296613,0.03529009,0.146963815,0.079610388,0.051976936,0.170173112,0.014274848,0,0.087052653,0.004580904,0.014785553,0.023500029,0.007328513,0.000569332,0.006911058,0.015374984,0.011724138,0.074266738,0.086252146,0.171059095,0.078859979,0.01475725,0.19550173,0.020566826,0.129658436,0.171990972,0.049356893,0.022058258,0.004535147,0.026785714,0.018704483,0.046510148,0.04632344,0.0559412,0.030390847,0.039650643,0.057771774,0.055145005,0.044982716,0.120122719,0.040411327,0.056340449,0.006666667,0.10199774,0.070357864,0.003084024,0.126268775,0.008330288,0.120622568,0.030775064,0.019052404,0.055337651,0.032586773,0.006787127,0.044309571,0.375415282,0.121884689,0.001,0.019211377,0.476750987,0.109853899,0.080885938,0.068001364,0.191872251,0.028189634,0.075536013,0.151338528,0.032872841,0.249977445,0.207284784,0.053905136,0,0.06450812,0.285576245,0.007974432,0.170629253,0.058555811,0.121008938,0.003908033,0.00502349,0.055825243,0.057988267,0.020775223,0.030773728,0.008965907,0.166367008,0.092299746,0.014350099,0,0.020833333,0.076923077,0.0179632,0.050979454,0.040244745,0.177177561,0.089873823,0,0.136246342,0.021890115,0.025862069,0.003992629,0.02952603,0.051951437,0.082743522,0.044609665,0,0.084507042,0.063251652,0.040882383,0.13637985,0.022663848,0.031591416,0.220588814,0.00216763,0,0.088879702,0.14307316,0.064000408,0,0.078223944,0.419853687,0.154571562,0.047335185,0.062131605,0.006644518
Artemisia,0,0.002887139,0.001150419,0.001675042,9.27E-05,0,0.002638522,0,0,0,0.010383416,0.00123406,0,0,0.000981354,0.011671979,0.019153046,0,0,0.006403689,0.000203252,0,0.024365452,0.006359413,0,0,0.002668938,0.005696462,0.011871492,0,0,0,0.009201357,0.02801321,0.290096484,0.011236289,0.000422914,0.001605136,3.69E-06,0.037507644,0,0.003606336,0.005201238,0.009782636,0,0,0.006179219,0.000345334,0.003159558,0.002770083,0.007025761,0.003717472,0.001746386,0.003743636,0.003837718,0.00280112,0,0.005183547,0.067394287,0.003109849,0.003645896,0.000352836,0.001591204,0,0.012859866,0.002915279,0.001397136,0.019112944,0.00017094,0.004257143,0.001870721,0,0.003403764,0.017536232,0.002053388,0,0.006315789,0,0,0,0.000509424,0.001428792,0,0,0,0,0.001478837,0.003425181,0,0.005509642,0.003213321,0,0.008060342,0.011290323,0,0.023227007,0.004225129,0.005393254,7.89E-05,0.004272591,0,0.016815858,0,0,0,0.004241071,0.001703578,0.011173184,0.017566974,0,0.000683852,0,0.004105815,0.024158824,0,0.019068297,0,0.105756106,0.036023214,0.018822274,0.006005608,0.004249292,0.014669107,0,0,0.000237206,0.009289311,0,0.013227784,0,0.000518739,0.001569495,0.00259222,0.005828826,0.001383509,0.034476553,0.004580904,0,0,0.015248066,0.000569332,0,0.000302343,0.030510345,0.00579699,0.016255082,0.004398712,0.003663949,0.003603945,0.010380623,0,0,0.104591222,0.001831502,0,0,0,0.013831122,0.018643125,0.010038361,0.001020825,0.002187283,0.0013267,0,0,0.012831567,0.02342275,0.009109262,0.000868307,0,0,0,0.00920032,0,0.002043694,0,0.001654811,0.016089627,0.00706926,0.001905488,0.063077704,0.026206848,0.043189369,0,0.075932203,0.00081448,0.002360818,0.001417234,0.000439422,0.001802885,0.011250463,0,0.000226131,0.002735333,0.001538462,0.000710086,0.000568022,0,0.0015625,0.003562799,0.04202302,0.003891954,0,0.001958605,0.003175977,0,0,0.004854369,0,0.004760628,0.000106391,0.016781606,0.011225594,0,0,0,0,0,0.002327426,0,0.0067056,0.106367328,0.024442079,0,0,0,0,0,0,0,0.017411583,0.003717472,0.003269827,0,0,0.010559049,0,0.000606061,0,0.004708196,0,0,0,0.002141863,0.01377279,0.002878762,0,0.00047081,0.012383259,0.004058125,0.006822912,0.003322259
Bidens,0,0,0.000231626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005224773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010264711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001971797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009175461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iva,0,0,0.000231626,0,0.02010986,0.019404913,0,0,0,0.002617801,0.004830918,0,0,0,0,0,0.002874891,0,0,0,0.00125538,0,0.001470588,0,0,0.00623053,0,0,0.006806837,0,0,0,0,0,0,0.00255707,0,0,0,0.008796502,0,0,0,0,0,0,0.006158827,0,0,0,0,0,0,0,0,0,0.001709402,0,0,0,0,0.000352836,0,0,0,0,0,0,0,0,0,0,0.000112339,0.000869565,0,0,0,0.002589416,0,0,0,0,0,0,0.005327401,0,0,0,0.000792236,0,0,0,0,0,0,0,0,0,0,0,0,0.006328465,0.000288295,0,0.000771682,0.004241071,0,0,0.021421949,0.036971549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114943,0,0,0,0,0,0.050730745,0,0,0,0,0,0.002735018,0,0,0,0,0,0,0,0.004464286,0.003036421,0,0,0,0,0,0,0,0,0.000164745,0.002324906,0,0,0,0.001473477,0.079734219,0,0,0,0,0,0,0,0.002915952,0,0.003257956,0,0.024489796,0,0.008418098,0,0,0,0.000221594,7.61E-05,0.00025624,0,0,0,0,0,0,0,0,0,0,0,0.003386002,0,0,0,0,0,0,0.013906113,0.000639591,0,0,0.001955367,0,0,0,0,0.001711677,0,0,0,0,0,0,0,0,0,0,0,0.001303781,0,0.002106086,0,0,0,0.002871301,0.00160019,0,0
