TAXON	Albino_Village	45AD2	41TG91	25FT17	Awatovi	Avey's_Orchard	Angel_Mounds	Anderson	Arroyo_Hondo_Pueblo	Apple_Creek	_Antelope_House	Aldea_Sierritas	Bill_Packer	Bellefonte	Beaver_Creek_Shelter	Bancos_Village	Big_Hawk_Shelter	Ben_Franklin	Bell	Bear_River_No._2	Baker_Cave_950_2950	Baker_Cave_350_10000	Burkemper_1650_2200	Burkemper_1150_1650	Brynjulfson_Cave_#2	Brewster	Bowen	Border_Village	Blain_Village	Black_Mesa_D:11:0275	Buffalo_Village	Black_Earth	Black_Mesa_D:11:2030	Bootlegger_Sink	Bonnell	Crow_Creek	Cedar_Grove	Canyon_City_Club_Cave	Cheek_Bend_Cave_2630_5000	Crawford_Farm	Copperhead_Cave	Connley_Cave_4	Cole_Quarry_Archaic_Site	Civa_ShelterII	Chimney_Rock	Chief_Joseph_Dam_Site_2000_4000	Chucalissa	Chief_Joseph_Dam_4000_7000	Chief_Joseph_Dam_Site_45OK258_2000_4000	Chesser_Cave	CheekBendCreek5000_12500	CheekBendCreek8000_12500	CheekBendCreek5000_8000	Charlie_Lake_Cave	Cahokia	Delaware_Canyon_2400_2500	Delaware_Canyon_1450_1550	Delaware_Canyon_1000_2000	Darty_Cave	Danger_Cave	Dutchess_Quarry_Cave	Delaware_Canyon_1550_1710	Deadman_Cave_X	Daggett_Solid_Waste	Drew	Fowlkes_Cave_1_4000	Fence_Cave_Local_Fauna	Fort_Quiatenon	False_Cougar_Cave_4290_8255	Ft._Union	Fort_De_Chartres	False_Cougar_Cave_1600_5830	False_Cougar_Cave_6105_14950	Fisher	Fairchance_Mound	Ezras_Retreat_1740_3750	Ezras_Retreat_750_1750	Eschelman	Eagle_Cave_II	Gatecliff_Shelter_1_750	Gamble	Gatecliff_Shelter_3140_3315	Gatecliff_Shelter_5250_5300	Gatecliff_Shelter_6900_8000	Gatecliff_Shelter_750_1730	Gatecliff_Shelter_1000_3125	Grasshopper_Pueblo	Gooseneck	Grass_Mesa_Village	Guadalupe_Ruin	Gatecliff_Shelter_750_1000	Gnagey	Gatecliff_Shelter_5300_6900	Gatecliff_Shelter_1500_3050	Garoga	Hulme	Holston_Vista_Cave	Howell's_Ridge_Cave	Hinds_Cave_6750_9120	Howarth-Nelson	Hiscock	Hinds_Cave_9120_10000	Hinds_Cave_1820_11550	Hidden_Cave_3800_6900	Hidden_Cave_1500_3050	Hidden_Cave_1500_6900	Hanging_RockShelter1_8000	Hadfields_Cave	Halls_Cave_6150_6400	Hogup_Cave_6900_12070	Hogup_Cave_3800_6900	Hogup_Cave_2535_14010	Hogup_Cave_1500_3050	Koster	Jake_White_Bull	Kings_Bay_Plantation	Klamath_Shoal_Midden	Kingston_Lake	King_Hill_Site	Kettle_Hill_Cave	Jerry_Long_Cave	Jamestown_Mounds	James_Creek_Shelter_8000_10030	James_Creek_Shelter_6800_8300	James_Creek_Shelter_2400_2750	James_Creek_Shelter_1250_2350	Lutz_Bluff_Shelter	Lovelock_Cave	Last_Supper_Cave_1500_3500	Lubbock_Late_6240_7970	Lower_Hidatsa	Lower_Grand	Lower_Sloth_Cave	Long_House	Little_Muddy_Rock	Little_Egypt	Little_Box_Elder_Cave_9250	Lilbourn	Lemoc_Shelter	Larson	Lamoka_Lake	LaMoille_Cave	Lamar960_1695	Lamar1_960	LA12070	LA_12063	Mount_Carbon	Meadowcroft_RockShelter1_175	Moonshiner	Morse_Creek_1	Mondrian_Tree	Modoc_Rock	Mission_of_St._Ignace	Miller's_Cave	Milford	Middle_Butte_Cave	Meyer_Cave	Medicine_Lodge_Creek	McKinstry	McKees_Rocks_Village	McGraw	Marmes_RockShelter	Meadowcroft_2930	Meadowcroft3120	Meadowcroft2290	Meadowcroft1665	Meadowcroft920	Quaker_State_Rockshelter	Preston_RockShelter3000	Preston_RockShelter1150	Prairie_Dog_Hamlet	Pot_Shelter	Phipps	Peccary_Cave_2230_10000	Pabst	Noble-Wieting	New_Paris_#2	Rodgers_Shelter_9500	Rodgers_Shelter_8100	Rodgers_Shelter_7500	Rodgers_Shelter_6700	Rodgers_Shelter_5200	Rodgers_Shelter_2500	Rodgers_Shelter_1750	Rodgers_Shelter_1000	Riverton	River_Bend	Ripplemead_Quarry	Rench	Rainbow	Walker_Hooper	Woodruff_Rockshelter	Ventana_Cave_1	Umpqua_Eden	Sheep_RockShelter	Zimmerman	White_Buffalo_Robe	WalthBay	Ventana_Cave_1000	Varner	Tick_Creek_Cave3000	Tick_Creek_Cave_1150	Solomon_River	Smith_Shelter	Smiling_Dan	Sleep_Bear_Dune	Shield_Trap_2930	Shield_Trap2185	Scovill	Schulze_Cave_9310	Schulze_Cave_8000	Schulze_Cave_3800	Schmidt	Sakakawea
Alces_alces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ammospermophilus_leucurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antilocapra_americana	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
Baiomys_taylori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Bassariscus_astutus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bison_bison	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1
Blarina_brevicauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0
Blarina_carolinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachylagus_idahoensis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canis_latrans	0	1	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0
