Taxa	1_1950	3_1950	4_1950	5_1950	6_1950	9_1950	15_1950	17_1950	19_1950	20_1950	21_1950	22_1950	1000_1950	1002_1950	1003_1950	1004_1950	1005_1950	1006_1950	1007_1950	1008_1950	1009_1950	1010_1950	1012_1950	1013_1950	1014_1950	1015_1950	1016_1950	1017_1950	1018_1950	1019_1950	1020_1950	1021_1950	1023_1950	1024_1950	1025_1950	1026_1950	1027_1950	1031_1950	1032_1950	1033_1950	1034_1950	1035_1950	1040_1950	1041_1950	1045_1950	1055_1950	1064_1950	1067_1950	1070_1950	1073_1950	1084_1950	1085_1950	1086_1950	1087_1950	1088_1950	1089_1950	1090_1950	1091_1950	1093_1950	1095_1950	1096_1950	1099_1950	1100_1950	1101_1950	1103_1950	1104_1950	1106_1950	1107_1950	1108_1950	1109_1950	1110_1950	1111_1950	1112_1950	1114_1950	1117_1950	1118_1950	1119_1950	1120_1950	1122_1950	1123_1950	1127_1950	1150_1950	1151_1950	1181_1950	1185_1950	1230_1950	1233_1950	3034_1950	3035_1950	3040_1950	3041_1950	3042_1950	3050_1950	3051_1950	3053_1950	3055_1950	3058_1950	3059_1950	3060_1950	3062_1950	3063_1950	3064_1950	3076_1950	3077_1950	3079_1950	3081_1950	3083_1950	3085_1950	3087_1950	3088_1950	3090_1950	3091_1950	3092_1950	3094_1950	3095_1950	3096_1950	3097_1950	3099_1950	3100_1950	3101_1950	3102_1950	3103_1950	3104_1950	3105_1950	3107_1950	3111_1950	3113_1950	3117_1950	3119_1950	3121_1950	3122_1950	3123_1950	3124_1950	3125_1950	3126_1950	3130_1950	3132_1950	3133_1950	3134_1950	3135_1950	3138_1950	3139_1950	3140_1950	3143_1950	3144_1950	3145_1950	3146_1950	3147_1950	3148_1950	3149_1950	3153_1950	3154_1950
Carex_sp	3	7	1	8	5	6	2	14	3	0	8	10	7	10	5	5	9	4	10	8	5	12	8	9	7	1	3	3	1	14	10	13	6	16	1	12	1	6	11	6	0	1	11	13	7	5	7	10	7	8	11	6	4	5	2	13	19	6	8	5	2	4	10	5	1	0	2	3	2	16	2	0	4	4	3	4	7	7	1	8	8	0	3	8	4	2	10	0	0	9	3	8	7	4	3	0	0	2	10	3	2	11	5	1	6	1	2	1	2	0	6	3	3	7	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	2	5	2	5	6	0	0	1	2	1	0	0	0	3	1	16	8	6	0	1	0	1
Smilacina_racemosa	6	4	15	8	12	13	13	6	6	0	0	3	8	8	14	8	4	3	5	3	7	3	2	7	16	6	9	10	3	7	5	8	0	3	7	3	2	13	8	13	3	0	10	7	6	3	17	9	2	12	8	8	5	2	1	1	1	0	2	8	8	10	0	10	3	8	3	2	12	8	2	2	3	6	11	9	3	7	2	2	1	4	7	0	2	12	2	0	0	1	2	5	0	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	6	0	0	9	1	4	0	0	0	1	1	1	1	1	0	9	1	0	1	1	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	5	7	8	5	3	0
Aralia_nudicaulis	0	0	0	0	0	2	0	0	0	0	0	0	0	5	8	5	1	2	4	0	8	0	4	0	0	0	0	9	0	0	0	4	1	1	2	1	0	0	0	0	0	0	0	8	0	1	0	0	5	0	2	2	0	2	4	0	0	0	2	0	7	1	0	0	0	0	3	0	2	7	4	2	4	13	5	3	4	0	5	5	1	2	1	0	1	0	4	10	8	3	0	0	3	2	2	2	1	14	7	3	0	10	0	7	3	6	1	0	0	0	2	1	5	4	1	4	3	7	10	8	6	2	4	9	13	3	1	5	12	3	0	0	0	6	0	6	12	7	1	0	4	2	3	4	2	3	4	9	2	4	4	1
Geranium_maculatum	9	4	16	11	5	8	10	20	9	0	0	2	2	14	13	16	8	15	1	6	5	7	17	8	11	1	2	13	13	15	10	13	0	6	0	9	4	4	2	4	7	2	13	10	12	7	6	2	14	15	7	12	7	7	1	8	9	1	3	9	15	2	1	8	4	2	9	4	7	5	10	7	12	7	9	7	10	7	1	3	10	3	5	13	5	10	2	0	0	6	12	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	7	2	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circaea_lutetiana	2	10	2	3	7	0	15	5	6	5	1	9	11	5	9	15	11	13	0	0	5	2	0	3	7	14	0	0	8	8	2	0	3	0	0	5	10	9	3	10	0	1	5	9	9	7	17	14	4	6	6	3	2	8	3	5	0	5	3	7	9	0	6	1	9	3	1	13	17	17	1	2	3	0	0	1	2	0	1	0	5	0	9	12	9	9	12	0	0	4	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	5	0	7	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parthenocissus_vitacea	1	4	2	1	0	0	4	2	0	0	1	0	7	15	4	11	10	8	0	1	0	1	0	1	4	1	2	1	12	1	10	15	0	2	5	2	9	12	12	12	5	8	3	7	10	12	16	15	6	16	13	6	1	9	5	4	5	6	3	11	4	0	2	0	2	4	7	17	16	10	3	8	4	2	2	0	2	1	2	0	0	0	19	2	13	17	2	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viola_sororia	0	1	0	7	1	0	0	0	0	0	0	3	12	2	1	1	1	1	0	0	0	0	1	2	2	1	0	1	1	3	8	1	0	0	0	0	1	5	7	5	8	7	2	2	1	0	8	2	0	2	4	0	2	1	1	5	2	2	1	0	8	0	9	6	3	0	0	1	4	11	0	0	1	0	0	0	0	1	0	4	1	1	1	0	5	0	0	5	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1	1	1	8	5	1	0	1	1	2	0	0	0	4	0	2	3	0	0	1	1	1	0	1	2	0	3	3	0	0	1	0	0	0
Maianthemum_canadense	0	2	0	6	0	6	0	0	0	1	9	8	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	4	4	0	0	0	0	0	0	0	0	0	0	13	13	4	4	7	7	15	16	17	2	16	6	7	4	13	0	17	16	11	17	4	0	2	18	0	6	3	4	18	0	15	1	2	5	2	0	8	20	16	14	11	14	11	9	13	18	6	8	9	16	1	11	6	12	17	9	14	9	4	15	11	6	13	10	9
Aster_macrophyllus	2	0	0	4	0	12	0	2	0	0	6	1	0	0	0	0	0	0	6	6	11	3	15	5	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	12	1	0	0	3	0	0	1	13	0	2	0	0	11	2	10	6	0	14	15	1	0	18	1	19	11	1	0	0	0	0	5	0	16	6	1	11	6	13	14	5	13	3	3	11	12	4	15	13	2	0	0	3	1	1	1	12	4	0	3	0	0	2	18	3	0	2	20	4	19	9	4	4
Anemone_quinquefolia	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	3	0	2	5	0	0	0	2	0	9	2	4	5	3	0	4	1	9	4	3	0	0	8	0	1	1	0	1	1	4	1	2	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	5	2	1	4	0	0	3	0	0	0	16	17	6	0	8	0	6	0	9	8	13	4	1	16	9	12	1	8	0	3	3	7	12	0	2	0	1	0	0	0	0	4	1	3	10	0	0	1	1	0	11	0	0	0	7	4	6	7	0	2
Amphicarpaea_bracteata	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	2	11	2	0	7	1	3	18	0	4	0	7	7	0	6	1	13	9	15	0	18	16	0	0	0	0	0	3	5	5	2	6	1	7	4	0	4	0	3	0	11	12	6	7	0	5	2	5	5	0	0	1	1	1	3	8	6	4	1	3	6	7	3	0	4	5	5	11	7	4	9	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	16	2	0	2	9	4	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fragaria_virginiana	0	1	0	1	0	0	0	12	1	0	0	1	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	6	2	2	0	0	0	3	15	0	2	1	0	1	0	3	0	0	1	0	0	0	2	0	1	0	1	7	0	0	0	1	2	1	3	3	1	0	3	0	0	2	1	0	13	1	0	1	0	1	2	0	0	7	0	3	2	0	3	1	0	0	2	0	8	1	0	5	0	3	1	0	1	0	4	4	1	0	0	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	11	1	0	0	14	1	4	5	0	1
Sanicula_marilandica	0	0	0	12	0	4	0	0	6	0	3	1	2	0	0	3	0	0	0	0	2	0	6	4	0	3	1	4	0	13	0	0	3	3	4	2	0	6	0	6	1	0	12	0	2	0	10	5	6	3	5	2	5	1	1	8	3	7	1	0	2	0	13	4	4	0	2	0	0	17	2	2	1	0	5	3	1	5	1	1	1	0	0	17	5	3	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Uvularia_grandiflora	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5	8	0	0	4	4	1	4	0	1	3	0	7	0	4	1	1	7	12	10	8	3	8	2	8	0	0	0	1	0	0	1	5	0	1	0	1	2	4	1	4	0	3	13	0	0	0	0	1	2	0	0	5	1	8	1	5	9	0	9	5	6	3	11	7	1	0	1	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	5	0	0	1	1	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	6	0	0	0	0	0	0	2	0	6	0	4	0	0	0
