Dataset,age.corrected,land.island.mod.ORIGINAL,land.island.mod.CORRECTED,land.island.mod.CORRECTED.overlapping.removed,land.island.mod.CORRECTED.overlapping.removed.Telford.filter
crypticTaxa,7.5,ETE,ETE,ETE,ETE
NorthAm-mammals-Modern,30,ETE,ETE,ETE,ETE
African-SPP-MOD,30,ETE,ETE,ETE,ETE
African-SPP-HIST,90,ETE,ETE,ETE,ETE
NorthAm-mammals-Holocene,5000,ETE,ETE,ETE,ETE
SouthAfrica-LgMammals-MIS1,12000,ETE,ETE,ETE,ETE
SouthAfrica-LgMammals-MIS2,24000,ETE,ETE,ETE,ETE
NorthAm-mammals-Pleistocene,25000,ETE,ETE,ETE,ETE
Turkana-KBS,1715000,ETE,ETE,ETE,ETE
Turkana-Burgi,2250000,ETE,ETE,ETE,ETE
Eurasia-spp-MN17,2750000,ETE,ETE,ETE,ETE
Eurasia-spp-MN16,3.00E+06,ETE,ETE,ETE,ETE
Turkana-TuluBor,3035000,ETE,ETE,ETE,ETE
Eurasia-spp-MN15,3800000,ETE,ETE,ETE,ETE
Siwalik-7Ma,7600000,ETE,ETE,ETE,ETE
Eurasia-spp-MN11,8450000,ETE,ETE,ETE,ETE
Eurasia-spp-MN10,9250000,ETE,ETE,ETE,ETE
Siwalik-11-10Ma,1.10E+07,ETE,ETE,ETE,ETE
Eurasia-spp-MN07,11850000,ETE,ETE,ETE,ETE
Siwalik-13-12Ma,13100000,ETE,ETE,ETE,ETE
Eurasia-spp-MN06,13850000,ETE,ETE,ETE,ETE
Siwalik-15-14Ma,14500000,ETE,ETE,ETE,ETE
Eurasia-spp-MN05,16100000,ETE,ETE,ETE,ETE
Siwalik-17-16Ma,17100000,ETE,ETE,ETE,ETE
Eurasia-spp-MN04,17500000,ETE,ETE,ETE,ETE
Eurasia-spp-MN03,1.90E+07,ETE,ETE,ETE,ETE
Eurasia-spp-MN02,21400000,ETE,ETE,ETE,ETE
WI-overstory-SPP-1950,60,ETE,ETE,ETE,ETE
WI-understory-SPP-1950,60,ETE,ETE,ETE,ETE
WI-overstory-SPP-2000,10,ETE,ETE,ETE,ETE
WI-understory-SPP-2000,10,ETE,ETE,ETE,ETE
EarlyEocenePlants,55600000,ETE,ETE,ETE,ETE
LatePaleocenePlants,56200000,ETE,ETE,ETE,ETE
BigCedarRidgePlants,7.30E+07,ETE,ETE,ETE,ETE
Kootenai,1.15E+08,ETE,ETE,ETE,ETE
Molteno2,235500000,ETE,ETE,ETE,ETE
Abo,2.90E+08,ETE,ETE,ETE,ETE
PennWolf,3.00E+08,ETE,ETE,ETE,ETE
Rotliegend,3.00E+08,ETE,ETE,ETE,ETE
NorthAm-pollen-0ka,60,ETE,ETE,ETE,ETE
NorthAm-pollen-1ka,1000,ETE,ETE,ETE,ETE
NorthAm-pollen-2ka,2000,ETE,ETE,ETE,ETE
NorthAm-pollen-3ka,3000,ETE,ETE,ETE,ETE
NorthAm-pollen-4ka,4000,ETE,ETE,ETE,ETE
